t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
33.7,-28284.507487,-1663.382769,-28365.652365,-1663.292608,-1665.700203,-28365.649360,-1663.292612,-1665.700207,-1665.700073,-1668.107534,
33.8,-28450.845764,-1668.197949,-28532.222385,-1668.107531,-1670.514858,-28532.219372,-1668.107534,-1670.514861,-1670.514728,-1672.921921,
33.9,-28617.665559,-1673.012594,-28699.273871,-1672.921918,-1675.328978,-28699.270849,-1672.921921,-1675.328981,-1675.328847,-1677.735774,
34.0,-28784.966818,-1677.826704,-28866.806769,-1677.735770,-1680.142563,-28866.803738,-1677.735774,-1680.142566,-1680.142432,-1682.549091,
34.1,-28952.749489,-1682.640278,-29034.821025,-1682.549088,-1684.955613,-29034.817986,-1682.549091,-1684.955616,-1684.955482,-1687.361874,
34.2,-29121.013517,-1687.453318,-29203.316587,-1687.361870,-1689.768128,-29203.313538,-1687.361874,-1689.768132,-1689.767998,-1692.174122,
34.3,-29289.758848,-1692.265824,-29372.293399,-1692.174118,-1694.580109,-29372.290343,-1692.174122,-1694.580112,-1694.579979,-1696.985835,
34.4,-29458.985431,-1697.077794,-29541.751410,-1696.985832,-1699.391555,-29541.748345,-1696.985835,-1699.391558,-1699.391425,-1701.797014,
34.5,-29628.693210,-1701.889230,-29711.690566,-1701.797010,-1704.202466,-29711.687492,-1701.797014,-1704.202470,-1704.202336,-1706.607658,
34.6,-29798.882133,-1706.700131,-29882.110812,-1706.607655,-1709.012843,-29882.107730,-1706.607658,-1709.012847,-1709.012713,-1711.417768,
34.7,-29969.552146,-1711.510498,-30053.012097,-1711.417764,-1713.822686,-30053.009006,-1711.417768,-1713.822689,-1713.822555,-1716.227343,
34.8,-30140.703196,-1716.320330,-30224.394365,-1716.227340,-1718.631994,-30224.391266,-1716.227343,-1718.631997,-1718.631863,-1721.036384,
34.9,-30312.335229,-1721.129628,-30396.257565,-1721.036380,-1723.440767,-30396.254457,-1721.036384,-1723.440771,-1723.440637,-1725.844891,
35.0,-30484.448192,-1725.938391,-30568.601641,-1725.844887,-1728.249007,-30568.598525,-1725.844891,-1728.249010,-1728.248877,-1730.652863,
35.1,-30657.042031,-1730.746620,-30741.426542,-1730.652859,-1733.056712,-30741.423417,-1730.652863,-1733.056715,-1733.056582,-1735.460301,
35.2,-30830.116693,-1735.554315,-30914.732213,-1735.460298,-1737.863883,-30914.729079,-1735.460301,-1737.863887,-1737.863753,-1740.267205,
35.3,-31003.672124,-1740.361475,-31088.518602,-1740.267202,-1742.670520,-31088.515459,-1740.267205,-1742.670524,-1742.670390,-1745.073575,
35.4,-31177.708272,-1745.168102,-31262.785654,-1745.073571,-1747.476623,-31262.782503,-1745.073575,-1747.476626,-1747.476493,-1749.879411,
35.5,-31352.225082,-1749.974194,-31437.533316,-1749.879407,-1752.282192,-31437.530156,-1749.879411,-1752.282195,-1752.282062,-1754.684713,
35.6,-31527.222501,-1754.779753,-31612.761535,-1754.684709,-1757.087227,-31612.758367,-1754.684713,-1757.087230,-1757.087097,-1759.489481,
35.7,-31702.700477,-1759.584777,-31788.470258,-1759.489477,-1761.891728,-31788.467081,-1759.489481,-1761.891732,-1761.891598,-1764.293715,
35.8,-31878.658954,-1764.389268,-31964.659431,-1764.293712,-1766.695695,-31964.656245,-1764.293715,-1766.695699,-1766.695566,-1769.097416,
35.9,-32055.097881,-1769.193225,-32141.329000,-1769.097412,-1771.499129,-32141.325806,-1769.097416,-1771.499133,-1771.498999,-1773.900583,
36.0,-32232.017204,-1773.996648,-32318.478913,-1773.900579,-1776.302029,-32318.475711,-1773.900583,-1776.302033,-1776.301899,-1778.703216,
36.1,-32409.416868,-1778.799537,-32496.109116,-1778.703212,-1781.104395,-32496.105905,-1778.703216,-1781.104399,-1781.104265,-1783.505315,
36.2,-32587.296822,-1783.601892,-32674.219555,-1783.505312,-1785.906228,-32674.216336,-1783.505315,-1785.906232,-1785.906098,-1788.306881,
36.3,-32765.657011,-1788.403714,-32852.810178,-1788.306878,-1790.707527,-32852.806950,-1788.306881,-1790.707531,-1790.707397,-1793.107914,
36.4,-32944.497383,-1793.205003,-33031.880931,-1793.107910,-1795.508293,-33031.877695,-1793.107914,-1795.508297,-1795.508163,-1797.908413,
36.5,-33123.817883,-1798.005758,-33211.431760,-1797.908409,-1800.308525,-33211.428515,-1797.908413,-1800.308529,-1800.308396,-1802.708378,
36.6,-33303.618459,-1802.805979,-33391.462613,-1802.708375,-1805.108224,-33391.459359,-1802.708378,-1805.108228,-1805.108095,-1807.507811,
36.7,-33483.899057,-1807.605668,-33571.973435,-1807.507807,-1809.907390,-33571.970173,-1807.507811,-1809.907394,-1809.907261,-1812.306710,
36.8,-33664.659624,-1812.404823,-33752.964174,-1812.306706,-1814.706023,-33752.960904,-1812.306710,-1814.706026,-1814.705893,-1817.105076,
36.9,-33845.900106,-1817.203444,-33934.434777,-1817.105072,-1819.504122,-33934.431498,-1817.105076,-1819.504126,-1819.503993,-1821.902909,
37.0,-34027.620450,-1822.001533,-34116.385189,-1821.902905,-1824.301689,-34116.381901,-1821.902909,-1824.301692,-1824.301559,-1826.700209,
37.1,-34209.820604,-1826.799088,-34298.815358,-1826.700205,-1829.098722,-34298.812062,-1826.700209,-1829.098725,-1829.098592,-1831.496976,
37.2,-34392.500512,-1831.596111,-34481.725230,-1831.496972,-1833.895222,-34481.721925,-1831.496976,-1833.895226,-1833.895093,-1836.293210,
37.3,-34575.660123,-1836.392600,-34665.114752,-1836.293206,-1838.691190,-34665.111439,-1836.293210,-1838.691193,-1838.691060,-1841.088911,
37.4,-34759.299383,-1841.188556,-34848.983871,-1841.088907,-1843.486624,-34848.980549,-1841.088911,-1843.486628,-1843.486495,-1845.884079,
37.5,-34943.418239,-1845.983980,-35033.332533,-1845.884075,-1848.281526,-35033.329203,-1845.884079,-1848.281530,-1848.281396,-1850.678714,
37.6,-35128.016637,-1850.778870,-35218.160686,-1850.678710,-1853.075895,-35218.157347,-1850.678714,-1853.075899,-1853.075765,-1855.472817,
37.7,-35313.094524,-1855.573228,-35403.468275,-1855.472813,-1857.869731,-35403.464928,-1855.472817,-1857.869735,-1857.869602,-1860.266387,
37.8,-35498.651847,-1860.367054,-35589.255249,-1860.266383,-1862.663035,-35589.251893,-1860.266387,-1862.663039,-1862.662906,-1865.059424,
37.9,-35684.688552,-1865.160346,-35775.521552,-1865.059420,-1867.455806,-35775.518188,-1865.059424,-1867.455810,-1867.455677,-1869.851929,
38.0,-35871.204587,-1869.953106,-35962.267133,-1869.851925,-1872.248045,-35962.263760,-1869.851929,-1872.248048,-1872.247915,-1874.643902,
38.1,-36058.199897,-1874.745333,-36149.491937,-1874.643898,-1877.039751,-36149.488556,-1874.643902,-1877.039755,-1877.039622,-1879.435342,
38.2,-36245.674431,-1879.537028,-36337.195912,-1879.435338,-1881.830925,-36337.192523,-1879.435342,-1881.830929,-1881.830795,-1884.226249,
38.3,-36433.628134,-1884.328191,-36525.379005,-1884.226246,-1886.621566,-36525.375607,-1884.226249,-1886.621570,-1886.621437,-1889.016625,
38.4,-36622.060953,-1889.118821,-36714.041161,-1889.016621,-1891.411676,-36714.037755,-1889.016625,-1891.411679,-1891.411546,-1893.806468,
38.5,-36810.972835,-1893.908919,-36903.182329,-1893.806464,-1896.201253,-36903.178914,-1893.806468,-1896.201256,-1896.201123,-1898.595779,
38.6,-37000.363727,-1898.698485,-37092.802454,-1898.595775,-1900.990298,-37092.799031,-1898.595779,-1900.990301,-1900.990168,-1903.384558,
38.7,-37190.233575,-1903.487518,-37282.901484,-1903.384554,-1905.778810,-37282.898052,-1903.384558,-1905.778814,-1905.778681,-1908.172805,
38.8,-37380.582327,-1908.276020,-37473.479365,-1908.172801,-1910.566791,-37473.475924,-1908.172805,-1910.566795,-1910.566662,-1912.960519,
38.9,-37571.409929,-1913.063989,-37664.536044,-1912.960516,-1915.354240,-37664.532595,-1912.960519,-1915.354244,-1915.354111,-1917.747702,
39.0,-37762.716328,-1917.851426,-37856.071468,-1917.747698,-1920.141157,-37856.068011,-1917.747702,-1920.141161,-1920.141028,-1922.534353,
39.1,-37954.501471,-1922.638332,-38048.085584,-1922.534349,-1924.927542,-38048.082118,-1922.534353,-1924.927546,-1924.927413,-1927.320472,
39.2,-38146.765304,-1927.424705,-38240.578338,-1927.320469,-1929.713395,-38240.574863,-1927.320472,-1929.713399,-1929.713266,-1932.106060,
39.3,-38339.507774,-1932.210547,-38433.549677,-1932.106056,-1934.498717,-38433.546194,-1932.106060,-1934.498721,-1934.498588,-1936.891115,
39.4,-38532.728829,-1936.995857,-38626.999549,-1936.891112,-1939.283507,-38626.996058,-1936.891115,-1939.283510,-1939.283378,-1941.675640,
39.5,-38726.428415,-1941.780635,-38820.927900,-1941.675636,-1944.067765,-38820.924400,-1941.675640,-1944.067769,-1944.067636,-1946.459632,
39.6,-38920.606478,-1946.564882,-39015.334676,-1946.459628,-1948.851491,-39015.331168,-1946.459632,-1948.851495,-1948.851363,-1951.243093,
39.7,-39115.262966,-1951.348597,-39210.219825,-1951.243089,-1953.634687,-39210.216309,-1951.243093,-1953.634691,-1953.634558,-1956.026022,
